Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [StrainOrLine]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
HCC1187	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1187	EFO	EFO_0001170	Adi gazdar	P-TABM-807	HCC1187	P-TABM-799	HCC1187	total_RNA	P-TABM-804	HCC1187 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1187_hyb	A-AFFY-33	P-AFFY-6	HCC1187	EFO	EFO_0001170	04. HCC1187.CEL	04._HCC1187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM52PE	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM52PE	EFO	EFO_0001246	Steve Ethier	P-TABM-801	SUM52PE	P-TABM-799	SUM52PE	total_RNA	P-TABM-804	SUM52PE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM52PE_hyb	A-AFFY-33	P-AFFY-6	SUM52PE	EFO	EFO_0001246	038_SUM-52PE.U133A.CEL	038_SUM-52PE.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1143	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1143	EFO	EFO_0001169	Adi gazdar	P-TABM-807	HCC1143	P-TABM-799	HCC1143	total_RNA	P-TABM-804	HCC1143 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1143_hyb	A-AFFY-33	P-AFFY-6	HCC1143	EFO	EFO_0001169	013_HCC1143.U133A.CEL	013_HCC1143.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB361	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB361	EFO	EFO_0001211	Georgetown	P-TABM-797	MDAMB361	P-TABM-799	MDAMB361	total_RNA	P-TABM-804	MDAMB361 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB361_hyb	A-AFFY-33	P-AFFY-6	MDAMB361	EFO	EFO_0001211	08_MDA-MB361.U133A.CEL	08_MDA-MB361.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MCF12A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MCF12A	EFO	EFO_0001202	Chris Benz	P-TABM-798	MCF12A	P-TABM-799	MCF12A	total_RNA	P-TABM-804	MCF12A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF12A_hyb	A-AFFY-33	P-AFFY-6	MCF12A	EFO	EFO_0001202	07. MCF-12A.CEL	07._MCF-12A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
AU565	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	AU565	EFO	EFO_0001087	ATCC	P-TABM-807	AU565	P-TABM-799	AU565	total_RNA	P-TABM-804	AU565 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	AU565_hyb	A-AFFY-33	P-AFFY-6	AU565	EFO	EFO_0001087	01. AU-565.CEL	01._AU-565.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM1315MO2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM1315MO2	EFO	EFO_0001239	Steve Ethier	P-TABM-800	SUM1315MO2	P-TABM-799	SUM1315MO2	total_RNA	P-TABM-804	SUM1315MO2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM1315MO2_hyb	A-AFFY-33	P-AFFY-6	SUM1315MO2	EFO	EFO_0001239	043_SUM-1315-MO2.U133A.CEL	043_SUM-1315-MO2.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SKBR3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SKBR3	EFO	EFO_0001236	Georgetown	P-TABM-805	SKBR3	P-TABM-799	SKBR3	total_RNA	P-TABM-804	SKBR3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SKBR3_hyb	A-AFFY-33	P-AFFY-6	SKBR3	EFO	EFO_0001236	06.SKBR3.U133A.CEL	06.SKBR3.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB468	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB468	EFO	EFO_0001216	Georgetown	P-TABM-803	MDAMB468	P-TABM-799	MDAMB468	total_RNA	P-TABM-804	MDAMB468 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB468_hyb	A-AFFY-33	P-AFFY-6	MDAMB468	EFO	EFO_0001216	11.MDA MB-468.U133A.CEL	11.MDA_MB-468.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HS578T	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HS578T	EFO	EFO_0001192	ATCC	P-TABM-797	HS578T	P-TABM-799	HS578T	total_RNA	P-TABM-804	HS578T biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HS578T_hyb	A-AFFY-33	P-AFFY-6	HS578T	EFO	EFO_0001192	025_HS578T.U133A.CEL	025_HS578T.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM149PT	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM149PT	EFO	EFO_0001240	Steve Ethier	P-TABM-801	SUM149PT	P-TABM-799	SUM149PT	total_RNA	P-TABM-804	SUM149PT biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM149PT_hyb	A-AFFY-33	P-AFFY-6	SUM149PT	EFO	EFO_0001240	039_SUM-149PT.U133A.CEL	039_SUM-149PT.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HBL100	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HBL100	EFO	EFO_0001167	Gray Lab	P-TABM-797	HBL100	P-TABM-799	HBL100	total_RNA	P-TABM-804	HBL100 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HBL100_hyb	A-AFFY-33	P-AFFY-6	HBL100	EFO	EFO_0001167	07.HBL100.U133A.CEL	07.HBL100.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MCF10A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MCF10A	  	  	Georgetown	P-TABM-798	MCF10A	P-TABM-799	MCF10A	total_RNA	P-TABM-804	MCF10A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF10A_hyb	A-AFFY-33	P-AFFY-6	MCF10A	  	  	CC_MCF10A_U133A.CEL	CC_MCF10A_U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1500	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1500	EFO	EFO_0001172	Adi gazdar	P-TABM-807	HCC1500	P-TABM-799	HCC1500	total_RNA	P-TABM-804	HCC1500 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1500_hyb	A-AFFY-33	P-AFFY-6	HCC1500	EFO	EFO_0001172	05. HCC1500.CEL	05._HCC1500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB435	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB435	EFO	EFO_0001213	Georgetown	P-TABM-797	MDAMB435	P-TABM-799	MDAMB435	total_RNA	P-TABM-804	MDAMB435 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB435_hyb	A-AFFY-33	P-AFFY-6	MDAMB435	EFO	EFO_0001213	031_MDA-MB435.U133A.CEL	031_MDA-MB435.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
UACC812	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	UACC812	EFO	EFO_0001258	Gray Lab	P-TABM-797	UACC812	P-TABM-799	UACC812	total_RNA	P-TABM-804	UACC812 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	UACC812_hyb	A-AFFY-33	P-AFFY-6	UACC812	EFO	EFO_0001258	09. UACC812.CEL	09._UACC812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM44PE	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM44PE	EFO	EFO_0001245	Steve Ethier	P-TABM-802	SUM44PE	P-TABM-799	SUM44PE	total_RNA	P-TABM-804	SUM44PE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM44PE_hyb	A-AFFY-33	P-AFFY-6	SUM44PE	EFO	EFO_0001245	037_SUM-44PE.U133A.CEL	037_SUM-44PE.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
T47D	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	T47D	EFO	EFO_0001247	Georgetown	P-TABM-807	T47D	P-TABM-799	T47D	total_RNA	P-TABM-804	T47D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T47D_hyb	A-AFFY-33	P-AFFY-6	T47D	EFO	EFO_0001247	036_T47D.U133A.CEL	036_T47D.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB175VII	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB175VII	EFO	EFO_0001208	ATCC	P-TABM-797	MDAMB175VII	P-TABM-799	MDAMB175VII	total_RNA	P-TABM-804	MDAMB175VII biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB175VII_hyb	A-AFFY-33	P-AFFY-6	MDAMB175VII	EFO	EFO_0001208	027_MDA-MB175-VII.U133A.CEL	027_MDA-MB175-VII.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
MDAMB231	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	MDAMB231	EFO	EFO_0001209	Georgetown	P-TABM-797	MDAMB231	P-TABM-799	MDAMB231	total_RNA	P-TABM-804	MDAMB231 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB231_hyb	A-AFFY-33	P-AFFY-6	MDAMB231	EFO	EFO_0001209	10.MDA MB-231.U133A.CEL	10.MDA_MB-231.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
SUM190PT	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	SUM190PT	EFO	EFO_0001243	Steve Ethier	P-TABM-802	SUM190PT	P-TABM-799	SUM190PT	total_RNA	P-TABM-804	SUM190PT biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM190PT_hyb	A-AFFY-33	P-AFFY-6	SUM190PT	EFO	EFO_0001243	042_SUM-190PT.U133A.CEL	042_SUM-190PT.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC2157	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC2157	EFO	EFO_0001177	Adi gazdar	P-TABM-807	HCC2157	P-TABM-799	HCC2157	total_RNA	P-TABM-804	HCC2157 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC2157_hyb	A-AFFY-33	P-AFFY-6	HCC2157	EFO	EFO_0001177	019_HCC2157.U133A.CEL	019_HCC2157.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
HCC1569	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	HCC1569	EFO	EFO_0001173	Adi gazdar	P-TABM-807	HCC1569	P-TABM-799	HCC1569	total_RNA	P-TABM-804	HCC1569 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1569_hyb	A-AFFY-33	P-AFFY-6	HCC1569	EFO	EFO_0001173	014_HCC1569.U133A.CEL	014_HCC1569.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
ZR751	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	fresh_sample	ZR751	EFO	EFO_0001262	Georgetown	P-TABM-807	ZR751	P-TABM-799	ZR751	total_RNA	P-TABM-804	ZR751 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	ZR751_hyb	A-AFFY-33	P-AFFY-6	ZR751	EFO	EFO_0001262	035_ZR75-1.U133A.CEL	035_ZR75-1.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.raw.1.zip	P-TABM-806	breastCellLineExpression2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-157/E-TABM-157.processed.1.zip
