ID,cellline,tissue,drug,security,drug_plate_id,T0_plate_id,drug_group_id,background_od1,background_od2,od0.1,od0.2,od0.3,od1.1,od1.2,od1.3,od2.1,od2.2,od2.3,od3.1,od3.2,od3.3,od4.1,od4.2,od4.3,od5.1,od5.2,od5.3,od6.1,od6.2,od6.3,od7.1,od7.2,od7.3,od8.1,od8.2,od8.3,od9.1,od9.2,od9.3,T0_background_od1,T0_background_od2,T0_median_od
57,AU565,breast,Methyl Glyoxol,public,13150,13149,184,73,154,5822,5836,5779,5972,5777,5250,6060,5439,5270,5969,6028,5306,5060,5421,4633,3084,5532,5352,4564,4808,2713,524,436,988,238,1516,1598,127,118,77,64,132,3227
63,AU565,breast,Methyl Glyoxol,public,13032,13030,184,40,101,2084,2056,2304,2148,2495,2340,2365,1941,2424,2295,2346,2304,1505,1953,1955,416,2225,2693,2055,1443,309,96,109,178,131,125,208,32,37,21,41,108,1471.5
69,AU565,breast,Sodium Dichloroacetate,public,13033,13030,176,64,129,2999,2811,2799,2592,2852,2707,2792,2877,2857,2954,3171,2711,3212,2948,2757,3117,2994,3048,2938,2853,2801,2742,3148,2878,2620,2682,2561,2732,2743,2743,41,108,1471.5
73,AU565,breast,Disulfiram,public,13035,13030,174,50,112,2416,2815,2627,2708,3014,2480,2770,2319,2418,2761,2895,2418,2659,2650,2870,2470,2529,2608,1310,1292,1027,1383,1251,1065,2222,1948,1908,1939,2262,1481,41,108,1471.5
74,AU565,breast,Mebendazole,public,13035,13030,174,50,112,2416,2815,2627,2459,2643,2873,2663,2522,2304,1618,2683,2566,2524,2390,2389,2479,2330,2462,1679,1137,1026,1403,1398,1343,1484,1389,1275,587,530,676,41,108,1471.5
75,AU565,breast,Nelfinavir,public,13035,13030,174,50,112,2416,2815,2627,2493,2661,2745,2751,2511,2350,2403,2783,2281,2557,2296,2689,2434,2553,2642,2864,2413,2675,2331,2775,2830,2539,2551,2560,2898,2581,2588,41,108,1471.5
78,BT20,breast,Methyl Glyoxol,public,13596,13599,184,85,145,5703,5659,5647,5513,5480,5252,5427,5535,5393,5508,5072,5313,5235,4866,4623,5505,5705,4468,4963,5026,4971,512,600,711,202,178,1112,153,161,3472,67,137,3169.5
79,BT20,breast,Disulfiram,public,13576,13579,174,81,147,5425,5673,5506,5607,5455,5454,5434,5480,5235,5583,5404,5374,5535,5611,5527,3861,3897,3684,1720,2015,1815,2488,2857,2160,801,810,1955,132,119,124,58,130,3203.5
80,BT20,breast,Mebendazole,public,13576,13579,174,81,147,5425,5673,5506,5281,5665,5257,5476,5178,5227,5436,5415,5628,5348,4914,5351,5548,5678,5429,4760,4488,4336,2842,2670,2567,4503,3151,2428,2425,639,742,58,130,3203.5
81,BT20,breast,Nelfinavir,public,13576,13579,174,81,147,5425,5673,5506,5531,5435,5472,5363,5405,5362,5408,5494,5284,5414,5493,5315,5528,5542,5415,5526,5565,5366,5579,5176,5270,4583,4448,4323,158,181,135,58,130,3203.5
90,BT20,breast,Sodium Dichloroacetate,public,13578,13579,176,95,167,5432,5530,5328,5778,5766,5491,5948,5306,5773,5675,5953,5538,5631,6312,6560,5277,5381,5401,5717,5423,5049,5322,5453,5188,5663,5438,5283,5063,5264,5247,58,130,3203.5
94,BT474,breast,2-deoxy-D-glucose,public,13124,13125,177,182,226,13100,13820,14610,116,14880,14650,13410,11210,8738,12360,14000,13710,223,14670,4214,13560,13890,13900,14280,2124,12980,13420,7593,132,12020,11100,9082,7425,4453,7563,107,201,7467.5
95,BT474,breast,Bromopyruvate,public,13124,13125,177,182,226,13100,13820,14610,14470,15320,13070,14710,10860,13620,14240,14160,14180,14590,14230,13250,187,14600,14060,12900,11990,287,223,238,1444,485,363,261,142,192,68,107,201,7467.5
96,BT474,breast,Chloroquine,public,13124,13125,177,182,226,13100,13820,14610,13590,14530,14060,14310,12990,13610,13210,15190,15140,13630,14860,162,240,7529,13610,13820,8970,13940,12870,14150,13220,647,13060,11500,329,343,398,107,201,7467.5
106,BT474,breast,Disulfiram,public,13127,13125,174,181,277,14280,14810,14530,14110,14110,12670,14300,12690,12590,14690,13750,12930,14590,13720,12960,14600,13680,12620,12990,13580,11530,14280,14190,12440,13700,14220,12080,11150,11500,13090,107,201,7467.5
107,BT474,breast,Mebendazole,public,13127,13125,174,181,277,14280,14810,14530,14210,14760,13010,14340,12590,12720,13620,14730,13160,14050,14700,12920,13230,14290,12430,8403,9007,9028,7647,8233,6941,7451,6167,5944,6007,5251,6480,107,201,7467.5
108,BT474,breast,Nelfinavir,public,13127,13125,174,181,277,14280,14810,14530,14200,14910,12830,13640,12860,13370,14080,14800,13130,14820,14700,13250,14010,14590,13170,14990,14600,12920,14380,13440,13200,13120,14130,12160,3163,3141,2015,107,201,7467.5
111,BT474,breast,Sodium Dichloroacetate,public,13128,13125,176,169,263,12930,12620,14240,13660,14180,12230,14390,12050,11850,13310,13950,12230,13580,14330,12880,13360,13780,12600,13800,13230,12380,13420,13920,12570,14260,13320,12170,12660,13300,11760,107,201,7467.5
114,BT474,breast,Methyl Glyoxol,public,13495,13492,184,132,212,11320,11480,11640,11680,12110,9799,11690,10750,11010,11440,11880,10730,10350,11440,11190,6938,11110,11580,10680,9917,8249,3986,4270,5906,434,978,2776,242,294,223,90,167,5946
115,BT483,breast,2-deoxy-D-glucose,public,13129,13130,177,105,161,4470,7912,8581,64,6954,7890,8554,5164,2821,6573,5096,7331,115,7874,1436,8141,7613,7504,8379,82,6408,7924,7165,65,8270,7901,4863,7529,3104,6734,104,188,6618
116,BT483,breast,Bromopyruvate,public,13129,13130,177,105,161,4470,7912,8581,8385,8102,7007,8415,3582,7898,8142,8432,7970,6578,8076,7680,82,7006,7412,3866,1831,73,132,124,229,274,197,132,80,92,33,104,188,6618
117,BT483,breast,Chloroquine,public,13129,13130,177,105,161,4470,7912,8581,6668,8002,7614,8367,5781,7919,7238,7731,7554,7400,7455,74,123,1154,7423,4018,3815,7582,6266,7959,7666,82,7189,3908,184,159,278,104,188,6618
118,BT483,breast,Disulfiram,public,13132,13130,174,146,198,9422,9273,9521,9378,9447,8681,9656,8835,8262,9664,9413,8344,9515,9038,8527,8967,9006,8458,8726,8302,6845,9454,9054,8420,9363,9189,8573,8355,8224,7406,104,188,6618
119,BT483,breast,Mebendazole,public,13132,13130,174,146,198,9422,9273,9521,8621,9841,8666,9626,8921,8273,9183,9785,8569,9330,9087,8882,8904,9479,8622,7971,8088,7698,8737,8253,7973,7851,7745,6987,7773,7482,7789,104,188,6618
120,BT483,breast,Nelfinavir,public,13132,13130,174,146,198,9422,9273,9521,9222,9592,8744,9456,8576,8374,9433,9491,8559,9635,9405,8480,9414,9571,8519,9244,9625,8409,9159,9023,8380,8443,9006,8441,1850,2124,1831,104,188,6618
123,BT483,breast,Sodium Dichloroacetate,public,13133,13130,176,114,211,9182,9454,9200,9125,9041,8465,9578,8652,7848,9200,9142,7979,9339,9255,8660,9290,8790,8399,8876,9146,8391,9445,9112,8122,9339,9242,8191,9226,9065,8275,104,188,6618
124,BT549,breast,2-deoxy-D-glucose,public,12687,12690,177,19,75,3,9,5,13,6,1125,124,4,39,3,5,2013,3,209,3,73,4,1126,1818,7,75,3,11,3,600,88,65,416,4,413,29,80,538
125,BT549,breast,Bromopyruvate,public,12687,12690,177,19,75,3,9,5,1534,5,6,7,4,2041,7,45,1753,5,442,252,9,23,15,17,11,34,4,18,36,7,5,4,3,11,9,29,80,538
126,BT549,breast,Chloroquine,public,12687,12690,177,19,75,3,9,5,4,4,910,26,4,1089,4,5,79,3,6,6,2,5,1777,27,4,31,4,105,1269,14,18,3,10,8,4,29,80,538
127,BT549,breast,Disulfiram,public,12688,12690,174,48,92,2557,2788,2724,2500,2634,2693,2592,2631,2632,2566,2708,2417,2772,2745,2923,2108,2463,2178,319,402,855,331,672,1303,420,496,1073,172,113,623,29,80,538
128,BT549,breast,Mebendazole,public,12688,12690,174,48,92,2557,2788,2724,2472,2742,2762,2712,2501,2561,2680,2664,2584,2635,2534,2582,2717,2642,2635,1468,1125,1459,983,1193,952,913,981,907,993,790,1007,29,80,538
129,BT549,breast,Nelfinavir,public,12688,12690,174,48,92,2557,2788,2724,2554,2581,2774,2715,2696,2639,2694,2636,2742,2943,2823,2563,2762,2754,2714,2709,2518,2717,2635,2755,2480,2047,2262,2140,68,75,53,29,80,538
132,BT549,breast,Sodium Dichloroacetate,public,12689,12690,176,45,106,2652,2651,2522,2349,2541,2492,2632,2352,2483,2741,2773,2302,2563,2542,2561,2590,2385,2512,2491,2694,2455,2579,2590,2371,2560,2538,2456,2359,2267,2304,29,80,538
135,BT549,breast,Methyl Glyoxol,public,13154,13153,184,44,115,2716,2724,2798,2764,2788,2687,2939,2827,2850,2826,2881,2694,803,1359,1279,1100,2750,2878,822,1336,279,54,61,107,92,72,63,41,53,56,34,92,573.5
145,CAMA1,breast,2-deoxy-D-glucose,public,12646,12647,177,87,138,7025,7148,7212,6670,7090,7015,7539,6228,6273,6153,7159,6877,6491,6701,6439,7208,7013,6694,6838,6939,6662,7002,7131,6242,6486,6283,6226,5761,4996,5448,67,131,3514
146,CAMA1,breast,Bromopyruvate,public,12646,12647,177,87,138,7025,7148,7212,7244,7622,5956,7443,6244,6155,7458,6899,6650,6953,6657,6750,6169,7068,6279,1828,905,167,159,178,181,234,208,142,164,160,139,67,131,3514
147,CAMA1,breast,Chloroquine,public,12646,12647,177,87,138,7025,7148,7212,7311,6905,7034,6632,6527,5688,6694,6800,6460,7611,7142,6331,6625,7004,7004,6829,6650,6184,6886,6759,6732,5030,5286,4787,190,224,147,67,131,3514
150,CAMA1,breast,Sodium Dichloroacetate,public,12648,12647,176,97,173,6669,7119,6821,6879,6881,6215,7097,6498,6158,7612,6720,5946,6869,7376,6481,6763,7645,6387,6940,6552,6282,6833,7147,6505,7003,6956,5823,6477,6637,6209,67,131,3514
153,CAMA1,breast,Methyl Glyoxol,public,13158,13157,184,144,217,9663,10350,10500,10120,10720,9927,10810,9680,9590,10330,10370,10090,10210,10260,10220,10020,10030,9972,10410,10060,9131,7745,7644,7638,5960,2731,1266,292,322,216,96,168,5677.5
157,CAMA1,breast,Disulfiram,public,12649,12647,174,88,154,7189,6382,6395,6482,6507,5983,6542,7425,5919,6666,6397,6151,7344,6277,5477,6547,6139,4972,5834,1354,5590,5995,6123,6123,5174,4760,5683,164,186,155,67,131,3514
158,CAMA1,breast,Mebendazole,public,12649,12647,174,88,154,7189,6382,6395,6397,6803,5266,6495,6084,6053,6060,6713,5559,5875,6031,5809,6633,6440,5615,4589,4182,4256,3229,3251,2874,3553,3280,3467,3023,3119,3278,67,131,3514
159,CAMA1,breast,Nelfinavir,public,12649,12647,174,88,154,7189,6382,6395,6921,6505,5674,6457,6487,5938,6321,7316,5926,6539,6304,6016,5967,6557,5470,6719,6402,2748,5971,6542,5452,4932,4248,4089,464,493,354,67,131,3514
166,HCC1143,breast,2-deoxy-D-glucose,public,13092,13099,177,46,105,27,1957,2840,22,1081,2941,3318,20,57,18,66,2852,17,2765,20,2741,79,2775,3233,20,1117,2261,2842,17,2876,2626,87,1491,29,1393,44,128,1475
167,HCC1143,breast,Bromopyruvate,public,13092,13099,177,46,105,27,1957,2840,3346,2894,200,2945,29,2754,1738,3147,2670,102,3382,3039,22,87,161,91,64,32,18,30,85,96,35,10,11,27,14,44,128,1475
168,HCC1143,breast,Chloroquine,public,13092,13099,177,46,105,27,1957,2840,999,2232,2679,3367,1161,2531,391,2034,2254,743,324,21,18,28,3062,57,25,2510,287,2910,2689,28,1957,375,48,34,10,44,128,1475
174,HCC1143,breast,Methyl Glyoxol,public,13094,13099,184,51,115,2848,2909,2989,3337,3008,2625,3391,3176,3050,2917,3209,3051,2529,2586,2396,1212,2852,2815,2802,2665,531,239,423,601,114,114,81,48,64,33,44,128,1475
177,HCC1143,breast,Methyl Glyoxol,public,13162,13161,184,110,176,7060,7128,7071,7136,7222,6590,7249,6517,6493,7430,7180,6640,7305,6915,6737,7188,6934,6842,6794,6929,6031,2268,2347,2889,1259,1874,3418,190,226,171,66,131,3710
183,HCC1143,breast,Sodium Dichloroacetate,public,13096,13099,176,59,136,3154,2974,3201,3021,3208,2496,3280,3581,3054,3243,3441,2803,3120,3034,2751,3238,3102,2940,3104,3042,2740,2908,3240,2962,2883,3099,2453,2626,3306,3022,44,128,1475
190,HCC1143,breast,Disulfiram,public,13098,13099,174,52,101,2776,2675,2796,2413,2856,2498,2877,2942,2295,2702,2972,2397,2833,2697,2655,2178,2306,2283,1002,514,872,944,985,889,1985,1569,659,112,81,1068,44,128,1475
191,HCC1143,breast,Mebendazole,public,13098,13099,174,52,101,2776,2675,2796,2717,2863,2898,2654,2719,2416,2491,2857,2496,2962,2347,2539,2592,2550,2587,2256,2278,2120,1523,1355,2272,1803,1811,1388,1339,868,1395,44,128,1475
192,HCC1143,breast,Nelfinavir,public,13098,13099,174,52,101,2776,2675,2796,2641,2914,2868,2946,2852,2209,2437,2685,2537,2701,2524,2823,2489,2714,2623,2968,2796,2301,2489,2714,2898,2395,2389,2246,266,223,545,44,128,1475
195,HCC1187,breast,Methyl Glyoxol,public,13529,13534,184,52,111,3009,2571,2564,3375,2612,2469,2639,3089,2620,2341,2429,2340,1061,928,1738,1658,2169,2750,302,490,510,62,72,102,96,75,70,66,53,73,63,136,2939.5
196,HCC1187,breast,2-deoxy-D-glucose,public,12693,12696,177,46,82,12,634,2037,16,14,4878,4136,9,43,12,25,4959,15,4186,8,3315,26,4903,4872,7,92,17,59,10,4175,3324,60,2443,13,2771,67,135,4042
197,HCC1187,breast,Bromopyruvate,public,12693,12696,177,46,82,12,634,2037,4819,593,260,1141,6,4625,108,4094,4564,14,4002,3962,16,58,108,112,56,31,12,24,73,55,26,14,9,15,9,67,135,4042
198,HCC1187,breast,Chloroquine,public,12693,12696,177,46,82,12,634,2037,10,611,4307,2919,10,3832,27,26,463,12,46,12,12,11,4792,34,20,2611,6,4319,4859,16,3579,22,24,15,11,67,135,4042
199,HCC1187,breast,Disulfiram,public,12694,12696,174,75,139,6077,6138,6402,5848,6546,4983,6395,5474,5337,6472,6502,5191,6368,5863,5837,5520,5676,4874,4528,4066,3484,5329,5064,4480,4732,4920,4314,2937,2542,4671,67,135,4042
200,HCC1187,breast,Mebendazole,public,12694,12696,174,75,139,6077,6138,6402,6194,6554,5538,6342,5420,5172,5755,6242,5628,5762,5786,5347,5812,5973,5584,2186,2275,2030,1356,1323,1208,1000,493,314,284,349,259,67,135,4042
201,HCC1187,breast,Nelfinavir,public,12694,12696,174,75,139,6077,6138,6402,6212,6176,5736,6284,5692,5135,5801,6460,5192,6210,6074,5427,5762,6401,5726,6115,6011,5208,5765,6052,5894,4769,5429,4398,247,228,139,67,135,4042
204,HCC1187,breast,Sodium Dichloroacetate,public,12695,12696,176,86,160,5898,5713,6031,5634,5819,5142,6075,5350,5288,5660,5746,5122,6057,5606,5737,5878,5758,5712,5943,5448,5046,5729,5748,5405,5807,5796,5076,5244,5566,5074,67,135,4042
208,HCC1187,breast,Disulfiram,public,13532,13534,174,51,116,2317,3183,3025,2706,2715,2344,3068,2444,2569,2848,3031,2462,2820,2969,2932,2217,2445,2664,1938,1572,1613,1812,1867,1590,1941,1900,1696,1826,1715,1835,63,136,2939.5
209,HCC1187,breast,Mebendazole,public,13532,13534,174,51,116,2317,3183,3025,2519,2958,2605,3099,2458,2055,2320,2658,2507,2337,2328,2225,2141,2148,2281,457,470,472,347,454,720,353,342,440,360,348,349,63,136,2939.5
210,HCC1187,breast,Nelfinavir,public,13532,13534,174,51,116,2317,3183,3025,2733,2706,2413,2979,2563,2581,2439,2926,2046,2833,2638,2536,2499,2526,2662,2370,2524,2474,2411,2832,2951,2438,2679,2348,2640,2618,1227,63,136,2939.5
216,HCC1187,breast,Sodium Dichloroacetate,public,13535,13534,176,56,120,2646,2910,2871,2758,2929,2441,3123,2848,2377,2990,3129,2496,2922,2853,2852,2400,2711,3076,2950,2461,2294,2696,2397,1953,2850,2564,2718,2431,2450,2759,63,136,2939.5
222,HCC1395,breast,Methyl Glyoxol,public,13166,13165,184,81,169,5365,5645,5751,5569,5801,5176,5845,5264,5313,5710,5565,5377,5575,5620,5254,5441,5757,5264,5706,5436,4745,4013,4191,3869,951,2381,2240,155,198,138,69,140,3723
223,HCC1395,breast,Disulfiram,public,13537,13538,174,101,176,6050,6204,6472,6264,6367,5988,6463,6158,6037,6173,6318,6105,6286,6486,6152,6157,6206,6093,5830,5193,5031,6070,5769,5284,6246,6090,5648,5933,6039,5369,91,176,4566
224,HCC1395,breast,Mebendazole,public,13537,13538,174,101,176,6050,6204,6472,6225,6321,6445,6174,6035,5707,6095,6310,6230,6145,5790,6114,6205,5993,6147,4945,4913,4169,5135,5071,5024,3759,4228,3905,2620,2721,2749,91,176,4566
225,HCC1395,breast,Nelfinavir,public,13537,13538,174,101,176,6050,6204,6472,6164,6317,6261,6389,6268,5824,6247,6289,5713,6271,6292,6150,6041,6378,6322,6284,6266,6034,6229,6228,6151,6239,6239,6076,6109,6178,3455,91,176,4566
231,HCC1395,breast,Sodium Dichloroacetate,public,13539,13538,176,106,195,6177,6173,6357,6061,6182,5857,6166,6442,5713,6249,6151,5706,6195,5997,6015,6200,6164,6069,5959,6180,5625,6295,6121,5513,6212,6223,5574,6008,5997,5862,91,176,4566
235,HCC1419,breast,2-deoxy-D-glucose,public,12611,12612,177,110,182,9960,9640,9960,9360,9500,8740,9640,9440,8950,9060,9620,8640,9330,9280,9240,9400,9330,8610,9120,9310,8870,9330,9350,9050,8130,8160,7700,6740,7220,6690,114,177,6953
236,HCC1419,breast,Bromopyruvate,public,12611,12612,177,110,182,9960,9640,9960,9460,9250,8850,9410,9390,8900,10100,9430,8910,9690,9140,8740,9170,9100,8790,8990,8840,8640,3790,4440,5650,311,292,194,250,240,215,114,177,6953
237,HCC1419,breast,Chloroquine,public,12611,12612,177,110,182,9960,9640,9960,9910,9730,9040,9530,9300,8800,9100,9610,8950,9620,9260,9490,9230,9450,8630,9460,9280,8690,9350,8700,8120,7820,7480,7740,3460,3140,2660,114,177,6953
240,HCC1419,breast,Methyl Glyoxol,public,13170,13169,184,143,233,9833,10070,10320,9940,10090,9336,10100,9392,9695,10230,10310,9763,9997,10120,10360,9641,10050,10230,10200,10000,8869,9472,9740,9273,5582,8876,8702,282,302,223,126,202,9147
243,HCC1419,breast,Sodium Dichloroacetate,public,12614,12612,176,144,220,11850,10270,10300,9845,10180,9669,9813,9617,9340,10600,9751,9605,10500,9907,9837,10250,10200,8895,10250,9577,11140,10280,10530,10350,10050,9825,10050,11560,9879,9275,114,177,6953
250,HCC1419,breast,Disulfiram,public,12615,12612,174,145,233,10270,10400,10770,10010,10510,9427,10630,10210,9197,10660,10190,9320,10010,10480,10310,10010,10610,9828,10020,10200,9702,9697,10260,10250,10500,9549,9347,9080,9189,9051,114,177,6953
251,HCC1419,breast,Mebendazole,public,12615,12612,174,145,233,10270,10400,10770,10010,10430,9731,10870,9675,9564,10290,10500,9765,9903,10230,9790,10290,10380,9589,9419,9752,9830,9322,9069,9078,9181,9156,8856,8904,7217,8192,114,177,6953
252,HCC1419,breast,Nelfinavir,public,12615,12612,174,145,233,10270,10400,10770,10550,10310,9667,10250,10080,9391,10080,10980,10290,9900,9779,9776,10480,10180,9931,10040,9966,9901,9575,9530,9365,3566,6077,4311,475,525,408,114,177,6953
253,HCC1428,breast,2-deoxy-D-glucose,public,13100,13107,177,72,126,35,3202,5451,35,94,6394,5789,51,71,27,106,6270,30,5508,31,6108,99,6462,6235,28,2238,3357,3902,26,5583,6039,117,4794,40,5342,77,152,4325.5
254,HCC1428,breast,Bromopyruvate,public,13100,13107,177,72,126,35,3202,5451,6190,4659,1172,5108,44,5954,3332,6066,6101,49,6136,6136,33,941,5436,187,103,42,25,42,150,156,58,24,13,34,14,77,152,4325.5
255,HCC1428,breast,Chloroquine,public,13100,13107,177,72,126,35,3202,5451,814,4212,5961,6193,2057,5515,61,2577,4661,68,87,25,21,38,6300,84,40,5183,38,6214,6436,34,2964,197,72,39,16,77,152,4325.5
