HEISER NAME	HMSLID-(SALT ID)-BATCH ID	LINCS NAME	COMMENT
Rafi IV (L779450)	10262-101-1	L-779450	
Rapamycin	10052-101-3	Sirolimus	
Ribavirin	10516-999-1	Ribavirin	
Ro 32-0432	10517-102-1	Ro 32-0432	
SB-3CT	10274-101-1	SB-3CT	
private_company_drug_7463	10260-999-1	Ispinesib	
AKT1-2 inhibitor	10035-109-2	Sigma A6730	
Sodium Dichloroacetate	10506-110-1	Dichloroacetate	
Sorafenib	10008-104-3	Sorafenib	
Sulindac sulfide	10518-101-1	Sulindac sulfide	
Sunitinib Malate	10175-106-3	Sunitinib	
Tamoxifen	10275-101-1	(Z)-4-Hydroxytamoxifen	
TAPI-0 (IC-1)	10519-101-1	TAPI-0	
TCS JNK 5a	10208-101-2	JNK-IN-5A	
TCS PIM-11	10520-101-1	TCS PIM-1 1	
TCS2312 dihydrochloride	10276-101-1	TCS 2312	
Temsirolimus(Torisel)	10277-101-1	Temsirolimus	
TPT(FD)	10278-999-1	Topotecan	
TPCA-1	10136-101-2	TPCA-1	
Trichostatin A	10279-101-1	Trichostatin A	
API-2(Tricir)	10280-101-1	Triciribine	
UO126	10219-101-2	U-0126	
Valproic acid	10346-110-1	Valproic acid	
Vinorelbine	10281-101-1	Vinorelbine	
SAHA (Vorinostat)	10282-101-1	Vorinostat	
VX-680	10021-101-5	Tozasertib	
XRP44X	10283-101-1	XRP44X	
Z-Leu-Leu-Leu-al	10107-999-5	MG-132	
Z-Leu-Leu-Norvalinal	10348-999-1	Z-Leu-Leu-Norvalinal	
ZM447439	10096-101-2	ZM-447439	
