Cell HMS LINCS ID	Cell Name	Clinical Subtype	Transcriptional Subtype	Small Molecule HMS LINCS ID	Small Molecule HMS LINCS ID	Antibody HMS LINCS ID	Antibody Name	Perturbagen Target	Perturbagen Class	Biological Replicate ID	Conc Unit	GR50	GEC50	GRmax	GRinf	GR Hill Coefficient	GR_AOC	GR r2	Nominal Division Rate
51088-1	184A1	NM	Basal			80078-1	Cetuximab	EGFR	ErbB	9047.026	uM	0.003597	0.014031	-0.26046	-0.46169	0.48053	0.49175	0.87773	0.5972
51088-1	184A1	NM	Basal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	10002.021	uM	2.6147	4.7776	-0.97189	-0.95592	1.773	0.63045	0.99589	0.7195
51088-1	184A1	NM	Basal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	9047.017	uM	2.8567	3.9215	-0.99402	-0.83072	3.0896	0.57928	0.98822	0.844
51088-1	184A1	NM	Basal	10506-110-1	Dichloroacetate			PDK	PDK	12684.176	uM	Inf	Inf	0.91479	0.91479	0	0.044931	0.1851	1.365
51088-1	184A1	NM	Basal	10507-999-1	Disulfiram			Proteasome	Proteasome	12684.174	uM	14.6327	13.5079	0.19874	0.038585	1.0041	0.11793	0.9898	1.4645
51088-1	184A1	NM	Basal	10247-101-1	Docetaxel			TUBB	TUBB	10002.002	uM	Inf	0.0081297	0.51414	0.51513	1.4431	0.27797	0.79789	0.9502
51088-1	184A1	NM	Basal	10247-101-1	Docetaxel			TUBB	TUBB	12684.002	uM	Inf	0.0045043	0.5376	0.52886	1.1663	0.27959	0.957	1.5245
51088-1	184A1	NM	Basal	10247-101-1	Docetaxel			TUBB	TUBB	9047.002	uM	0.0072079	0.0016395	0.32711	0.26888	0.52112	0.48443	0.71112	0.5243
51088-1	184A1	NM	Basal	10248-101-1	Doxorubicin			TOP2	TOP	10002.034	uM	0.10668	0.20741	-0.99999	-0.9682	1.6201	0.95161	0.99361	0.6736
51088-1	184A1	NM	Basal	10248-101-1	Doxorubicin			TOP2	TOP	9047.121	uM	0.13985	0.26689	-0.99871	-0.93101	1.6271	0.92142	0.98069	0.7949
51088-1	184A1	NM	Basal	10249-999-1	Epirubicin			TOP2	TOP	9047.017	uM	0.20465	0.50611	-0.99991	-0.97343	1.1936	0.88409	0.98867	0.844
51088-1	184A1	NM	Basal	10097-102-3	Erlotinib			EGFR	ErbB	5895.091	uM	0.20794	0.22424	-0.17732	-0.14815	3.4384	0.48579	0.99688	1.1729
51088-1	184A1	NM	Basal	10250-101-1	Etoposide			TOP2	TOP	5894.074	uM	9.2856	35.6903	-0.76801	-1	0.81595	0.40437	0.98264	1.4541
51088-1	184A1	NM	Basal	10250-101-1	Etoposide			TOP2	TOP	5895.074	uM	10.4865	42.1993	-0.73949	-1	0.78905	0.37096	0.9859	1.1218
51088-1	184A1	NM	Basal	10235-101-2	Everolimus			MTOR	MTOR	12509.164	uM	0.023165	2.8047	-0.96102	-1	0.22905	0.68605	0.65157	1.1949
51088-1	184A1	NM	Basal	10110-101-1	FR180204			ERK1/2	MAPK	12509.166	uM	30.4544	25.5658	0.29194	0.29116	4.9895	0.056494	0.94952	1.2847
51088-1	184A1	NM	Basal	10508-101-1	FTase Inhibitor I			Ftase	MAPK	12509.167	uM	Inf	Inf	0.99878	0.99878	0	-0.0032651	-0.00085898	1.4256
51088-1	184A1	NM	Basal	10251-112-1	Fascaplysin			CDK4	CDK	5894.084	uM	0.44564	0.69098	-0.94375	-0.93918	2.4104	0.57335	0.99926	1.5903
51088-1	184A1	NM	Basal	10251-112-1	Fascaplysin			CDK4	CDK	5895.085	uM	0.34845	0.59708	-0.94596	-0.9541	1.9822	0.62065	0.99797	1.4396
51088-1	184A1	NM	Basal	10509-101-1	GM6001			MMP	MMP	5895.096	uM	Inf	Inf	0.97626	0.97626	0	-0.014079	-0.10568	1.4232
51088-1	184A1	NM	Basal	10062-101-3	GSK1070916			AURK	AURK	10002.001	uM	0.64737	2.6708	-0.55054	-0.80305	0.67587	0.39157	0.9922	0.5372
51088-1	184A1	NM	Basal	10062-101-3	GSK1070916			AURK	AURK	9047.001	uM	0.83697	5.2526	-0.44569	-0.97353	0.58845	0.38123	0.98281	0.7701
51088-1	184A1	NM	Basal	10255-101-1	GSK1838705A			IGF1R	RTK	5894.098	uM	0.36902	0.35227	0.033285	0.048682	2.2061	0.37816	0.99697	1.6523
51088-1	184A1	NM	Basal	10255-101-1	GSK1838705A			IGF1R	RTK	5895.091	uM	0.38664	0.64104	-0.6029	-0.46208	1.2945	0.56721	0.96838	1.1729
51088-1	184A1	NM	Basal	10255-101-1	GSK1838705A			IGF1R	RTK	5895.098	uM	0.42849	0.39937	0.016623	0.053765	1.6165	0.35736	0.99372	1.4041
51088-1	184A1	NM	Basal	10146-101-2	Omipalisib			PI3K	PI3K	5895.086	uM	0.0018293	0.002617	-0.50322	-0.17457	0.83627	0.83087	0.91633	1.2802
51088-1	184A1	NM	Basal	10013-101-3	GSK461364			PLK1	PLK	10002.001	uM	6.0662	9.1162	-0.97173	-1	2.6972	0.26054	0.97347	0.5372
51088-1	184A1	NM	Basal	10013-101-3	GSK461364			PLK1	PLK	9047.001	uM	4.1581	52.4411	-0.0072692	-1	0.43344	0.26204	0.74636	0.7701
51088-1	184A1	NM	Basal	10257-101-1	GSK923295			CENPE	Kinesin	10002.001	uM	8.4717	11.624	-0.95068	-1	3.4729	0.2407	0.94387	0.5372
51088-1	184A1	NM	Basal	10257-101-1	GSK923295			CENPE	Kinesin	9047.001	uM	Inf	Inf	0.038463	0.038463	0	0.25098	0.52258	0.7701
51088-1	184A1	NM	Basal	10029-101-2	GW-5074			CRAF	MAPK	5895.088	uM	2.2064	4.3079	-0.53588	-0.65709	1.254	0.25075	0.99318	1.3297
51088-1	184A1	NM	Basal	10098-101-2	Gefitinib			EGFR	ErbB	9047.132	uM	Inf	Inf	0.44137	0.44137	0	0.43978	0.35882	0.6985
51088-1	184A1	NM	Basal	10108-101-2	Geldanamycin			HSP90	HSP90	10002.012	uM	0.0023163	0.002782	-0.49626	-0.46941	3.614	1.2014	0.99455	0.5807
51088-1	184A1	NM	Basal	10108-101-2	Geldanamycin			HSP90	HSP90	9047.012	uM	0.0023522	0.0027244	-0.4629	-0.44289	4.3174	1.1812	0.99378	0.7549
51088-1	184A1	NM	Basal	10252-101-1	Gemcitabine			DNA replication	DNA replication	9047.011	uM	0.39288	3.5879	-0.71972	-1	0.4967	0.66652	0.95196	0.6293
51088-1	184A1	NM	Basal	10253-102-1	Glycyl-H-1152			ROCK2		12509.169	uM	Inf	Inf	0.88204	0.88204	0	0.067301	0.009156	1.5064
51088-1	184A1	NM	Basal	10259-101-1	ICRF-193			TOP2	TOP	12509.157	uM	Inf	0.17119	0.64327	0.6783	0.65978	0.13275	0.92018	1.2837
51088-1	184A1	NM	Basal	10228-102-2	IKK16			IKK	NFKB	5895.093	uM	1.0111	2.3721	-0.95637	-1	1.2884	0.50845	0.98817	1.3259
51088-1	184A1	NM	Basal	10258-110-1	Ibandronate			FDPS		12509.143	uM	155.2284	288.3407	-0.914	-1	1.7741	0.27845	0.9964	1.3392
51088-1	184A1	NM	Basal	10023-103-3	Imatinib			ABL/KIT/PDGFR	nRTK	5895.091	uM	16.0901	26.4923	-0.98986	-1	2.2032	0.46297	0.99687	1.1729
51088-1	184A1	NM	Basal	10260-999-1	Ispinesib			KSP	Kinesin	5894.067	uM	1.6218	3.4894	-0.92883	-1	1.4339	0.3983	0.95807	1.5647
51088-1	184A1	NM	Basal	10260-999-1	Ispinesib			KSP	Kinesin	5895.067	uM	2.2507	4.5741	-0.90911	-0.99999	1.5491	0.34971	0.96921	1.4053
51088-1	184A1	NM	Basal	10261-101-1	Ixabepilone			TUBB	TUBB	5894.095	uM	0.4664	0.69919	-0.90102	-0.89763	2.5388	0.61585	0.9985	1.7133
51088-1	184A1	NM	Basal	10261-101-1	Ixabepilone			TUBB	TUBB	5895.095	uM	0.14338	0.76637	-0.95014	-1	0.65544	0.68287	0.94833	1.4629
51088-1	184A1	NM	Basal	10208-101-2	JNK-IN-5A			JNK	JNK	12509.168	uM	Inf	0.95387	0.38589	0.61714	4.999	0.14867	0.72739	1.3516
51088-1	184A1	NM	Basal	10262-101-1	L-779450			BRAF	MAPK	12509.166	uM	8.5652	14.4064	-0.71074	-0.99999	2.1129	0.16724	0.96866	1.2847
51088-1	184A1	NM	Basal	10263-101-1	LBH589			HDAC	HDAC	12509.167	uM	0.29923	0.89089	-0.74145	-0.8021	0.87729	0.48842	0.99046	1.4256
51088-1	184A1	NM	Basal	10051-999-3	Lapatinib			EGFR/HER2	ErbB	5894.098	uM	1.9626	1.8321	0.079401	0.073644	2.3169	0.14988	0.99568	1.6523
51088-1	184A1	NM	Basal	10051-999-3	Lapatinib			EGFR/HER2	ErbB	5895.098	uM	1.8462	1.0794	0.23367	0.46585	5	0.084548	0.80113	1.4041
51088-1	184A1	NM	Basal	10230-101-2	Lestaurtinib			FLT3/JAK2/TrkA	RTK	12509.167	uM	1.4678	2.2652	-0.86692	-0.86557	2.3156	0.38085	0.99592	1.4256
51088-1	184A1	NM	Basal	10107-101-2	MG-132			Proteasome	Proteasome	12509.17	uM	0.02024	0.051061	-0.8085	-0.64925	0.8994	0.92761	0.94489	1.3955
51088-1	184A1	NM	Basal	10107-101-2	MG-132			Proteasome	Proteasome	12509.17	uM	0.02024	0.051061	-0.8085	-0.64925	0.8994	0.92761	0.94489	1.3955
51088-1	184A1	NM	Basal	10265-101-1	Pevonedistat			NAE1	NAE1	12509.135	uM	0.63324	0.71207	-0.039533	-0.041484	0.67938	0.35939	0.98797	1.3717
51088-1	184A1	NM	Basal	10511-999-1	Mebendazole					12684.174	uM	Inf	0.36667	0.53338	0.57451	5	0.17234	0.9699	1.4645
51088-1	184A1	NM	Basal	10264-101-1	Methotrexate			DHFR	Metabolism	5894.084	uM	0.058403	0.064559	-0.29917	-0.31265	4.8467	0.90236	0.9966	1.5903
51088-1	184A1	NM	Basal	10264-101-1	Methotrexate			DHFR	Metabolism	5895.085	uM	0.051173	0.059353	-0.30709	-0.31931	3.3302	0.88746	0.99878	1.4396
51088-1	184A1	NM	Basal	10266-101-1	NSC 663284			CDC25	CDC	12509.152	uM	1.6173	2.0289	-0.93033	-0.92903	4.632	0.65275	0.99708	1.3755
51088-1	184A1	NM	Basal	10267-101-1	NU6102			CDK1/2	CDK	12509.147	uM	6.5919	12.9528	-0.87212	-1	1.6264	0.2474	0.9935	1.2058
51088-1	184A1	NM	Basal	10513-999-1	Nelfinavir					12684.174	uM	3.03	4.2287	-0.64454	-0.65434	2.5101	0.29904	0.9857	1.4645
51088-1	184A1	NM	Basal	10099-101-2	Nilotinib			ABL	nRTK	12509.17	uM	Inf	0.16976	0.82598	0.86145	1.034	0.078063	0.80067	1.3955
51088-1	184A1	NM	Basal	10268-101-1	Nutlin 3a			MDM2	MDM2	5894.066	uM	6.7664	16.5846	-0.89488	-1	1.2254	0.27782	0.93874	1.5027
51088-1	184A1	NM	Basal	10268-101-1	Nutlin 3a			MDM2	MDM2	5895.066	uM	3.2228	10.2295	-0.97252	-1	0.95117	0.31331	0.95594	1.1612
51088-1	184A1	NM	Basal	10344-101-1	Olomoucine II			CDK1	CDK	12509.147	uM	3.3523	4.0899	-0.34356	-0.32304	2.5061	0.33112	0.99556	1.2058
51088-1	184A1	NM	Basal	10269-101-1	Oxaliplatin			DNA cross-linker	DNA cross-linker	10002.021	uM	1.9801	5.9278	-0.99084	-1	1.0019	0.75273	0.9764	0.7195
51088-1	184A1	NM	Basal	10269-101-1	Oxaliplatin			DNA cross-linker	DNA cross-linker	9047.011	uM	0.53932	2.1846	-0.9996	-1	0.78535	0.88867	0.99283	0.6293
51088-1	184A1	NM	Basal	10270-101-1	Oxamflatin			HDAC	HDAC	12509.147	uM	1.6531	3.4976	-0.95326	-1	1.4659	0.47359	0.99178	1.2058
51088-1	184A1	NM	Basal	10271-101-2	PD 98059			MEK	MAPK	12509.152	uM	Inf	Inf	0.7622	0.7622	0	0.059539	0.44821	1.3755
51088-1	184A1	NM	Basal	10026-101-3	PD173074			FGFR1/3	RTK	5895.093	uM	8.4653	9.9555	-0.075991	-0.18227	1.9169	0.095917	0.98657	1.3259
51088-1	184A1	NM	Basal	10048-101-7	PD184352			MEK	MAPK	12509.155	uM	8.5592	48.247	0.11721	-1	0.63528	0.14323	0.95091	1.3444
51088-1	184A1	NM	Basal	10048-101-7	PD184352			MEK	MAPK	12509.155	uM	8.5592	48.247	0.11721	-1	0.63528	0.14323	0.95091	1.3444
51088-1	184A1	NM	Basal	10514-102-1	PS-1145			IKK	NFKB	5894.065	uM	Inf	416.6125	0.83837	0.83828	4.9997	-0.0087362	0.74899	1.6064
51088-1	184A1	NM	Basal	10514-102-1	PS-1145			IKK	NFKB	5895.065	uM	Inf	Inf	1.0031	1.0031	0	-0.038939	-4.6402	1.3748
51088-1	184A1	NM	Basal	10272-999-1	Pemetrexed			TYMS/DHFR/GARFT	TYMS	5894.095	uM	53.7251	62.7289	-0.17924	-0.091999	1.0901	0.35075	0.93997	1.7133
51088-1	184A1	NM	Basal	10272-999-1	Pemetrexed			TYMS/DHFR/GARFT	TYMS	5895.095	uM	0.40767	0.4181	-0.016463	-0.021886	1.6956	0.71038	0.99238	1.4629
51088-1	184A1	NM	Basal	10273-101-1	Purvalanol A			CDK1	CDK	5894.067	uM	6.0088	4.7344	0.10642	0.14878	1.4817	0.23435	0.97977	1.5647
51088-1	184A1	NM	Basal	10273-101-1	Purvalanol A			CDK1	CDK	5895.067	uM	51.1843	39.9231	0.35578	0.35527	4.9894	0.045692	0.97644	1.4053
51088-1	184A1	NM	Basal	10515-101-1	QNZ			NFkB	NFKB	5895.096	uM	97.0933	12.4605	0.5808	0.26575	0.36931	0.13404	0.89744	1.4232
51088-1	184A1	NM	Basal	10052-101-3	Sirolimus			MTOR	MTOR	7787.068	uM	Inf	Inf	-0.27937	-0.27937	0	0.58213	0.49947	0.9562
51088-1	184A1	NM	Basal	10274-101-1	SB-3CT			MMP2/9	MMP	12509.168	uM	433.2576	Inf	0.61801	-0.26718	0.51184	0.058514	0.88691	1.3516
51088-1	184A1	NM	Basal	10056-101-2	Selumetinib			MEK	MAPK	12509.155	uM	0.33719	0.32458	0.042156	0.018177	0.97216	0.37454	0.99238	1.3444
51088-1	184A1	NM	Basal	10035-109-2	Sigma A6730			AKT	AKT	12509.165	uM	3.1424	13.0561	-0.65529	-1	0.77135	0.31611	0.98849	1.5022
51088-1	184A1	NM	Basal	10008-104-3	Sorafenib			PDGFR/VEGFR/KIT/FLT3	RTK	5894.084	uM	3.9368	6.1944	-0.59947	-0.45732	1.433	0.55856	0.98508	1.5903
51088-1	184A1	NM	Basal	10008-104-3	Sorafenib			PDGFR/VEGFR/KIT/FLT3	RTK	5895.085	uM	1.6035	2.0408	-0.63519	-0.45478	2.682	0.54813	0.96844	1.4396
51088-1	184A1	NM	Basal	10175-106-3	Sunitinib			PDGFR/VEGFR/KIT/FLT3	RTK	5894.067	uM	4.44	8.1973	-0.94127	-0.99565	1.787	0.45818	0.99494	1.5647
51088-1	184A1	NM	Basal	10175-106-3	Sunitinib			PDGFR/VEGFR/KIT/FLT3	RTK	5895.067	uM	5.4249	7.9739	-0.91347	-0.90794	2.6878	0.41876	0.99822	1.4053
51088-1	184A1	NM	Basal	10519-101-1	TAPI-0			TACE/Collagenase		5895.096	uM	Inf	6.6258	0.88039	0.88034	5	-0.006504	0.5959	1.4232
51088-1	184A1	NM	Basal	10276-101-1	TCS 2312			CHK1	CHK	12509.152	uM	0.52576	0.68654	-0.60276	-0.39289	2.1732	0.39719	0.97046	1.3755
51088-1	184A1	NM	Basal	10520-101-1	TCS PIM-1 1			Pim kinase	PIM	12509.135	uM	11.0502	2.486	0.36524	0.31687	0.6733	0.22651	0.9787	1.3717
51088-1	184A1	NM	Basal	10136-101-2	TPCA-1			IKK	NFKB	5895.093	uM	4.5264	2.604	0.36591	0.39116	2.7579	0.12898	0.98363	1.3259
51088-1	184A1	NM	Basal	10102-101-3	Taxol			TUBB	TUBB	10002.002	uM	0.039931	0.017435	0.39924	0.41474	2.1347	0.33795	0.97867	0.9502
51088-1	184A1	NM	Basal	10102-101-3	Taxol			TUBB	TUBB	12684.002	uM	Inf	0.016158	0.43969	0.5237	1.5161	0.28195	0.95612	1.5245
51088-1	184A1	NM	Basal	10102-101-3	Taxol			TUBB	TUBB	9047.002	uM	0.05134	0.13706	-0.19584	-0.27577	0.44732	0.53884	0.92195	0.5243
51088-1	184A1	NM	Basal	10277-101-1	Temsirolimus			MTOR	MTOR	12509.168	uM	0.69862	4.3464	-0.92465	-1	0.601	0.62002	0.88239	1.3516
51088-1	184A1	NM	Basal	10278-999-1	Topotecan			TOP1	TOP	9047.121	uM	0.065711	0.20129	-0.5195	-0.5794	0.68743	0.81368	0.94122	0.7949
51088-1	184A1	NM	Basal	10021-101-5	Tozasertib			AURK/FLT3/ABL/JAK2	AURK	12509.169	uM	2.4757	23.7806	-0.31993	-1	0.48561	0.36958	0.98227	1.5064
51088-1	184A1	NM	Basal	10142-999-2	Trametinib			MEK	MAPK	10002.012	uM	0.0024647	0.0037324	-0.33193	-0.34248	1.2572	0.88163	0.99501	0.5807
51088-1	184A1	NM	Basal	10142-999-2	Trametinib			MEK	MAPK	9047.012	uM	0.0012095	0.0019806	-0.2658	-0.26216	0.85475	0.89038	0.97281	0.7549
51088-1	184A1	NM	Basal			80076-1	Trastuzumab	HER2	ErbB	9047.026	uM	Inf	Inf	0.28367	0.28367	0	0.21696	0.080369	0.5972
51088-1	184A1	NM	Basal	10279-101-1	Trichostatin A			HDAC	HDAC	5894.065	uM	21.39	58.1276	-0.84694	-0.83644	0.98344	0.628	0.99739	1.6064
51088-1	184A1	NM	Basal	10279-101-1	Trichostatin A			HDAC	HDAC	5895.065	uM	18.7979	50.306	-0.94562	-0.96725	1.0936	0.67993	0.9969	1.3748
51088-1	184A1	NM	Basal	10280-101-1	Triciribine			AKT	AKT	5894.074	uM	0.10268	0.28489	-0.66221	-0.61119	0.78251	0.58069	0.98656	1.4541
51088-1	184A1	NM	Basal	10280-101-1	Triciribine			AKT	AKT	5895.074	uM	0.087924	0.23992	-0.76858	-0.71286	0.88274	0.64193	0.99558	1.1218
51088-1	184A1	NM	Basal	10346-110-1	Valproic acid			HDAC	HDAC	12509.143	uM	612.316	1000	-0.4448	-0.32069	1.0103	0.27167	0.94407	1.3392
51088-1	184A1	NM	Basal	10281-101-1	Vinorelbine			TUBB	TUBB	7787.018	uM	Inf	Inf	-0.9963	-0.9963	0	0.48311	0.44991	0.3791
51088-1	184A1	NM	Basal	10282-101-1	Vorinostat			HDAC	HDAC	5894.065	uM	174.6449	418.843	-0.39457	-0.46844	0.75575	0.42008	0.98593	1.6064
51088-1	184A1	NM	Basal	10282-101-1	Vorinostat			HDAC	HDAC	5895.065	uM	141.5536	735.0164	-0.6699	-0.87927	0.61601	0.48396	0.99089	1.3748
51088-1	184A1	NM	Basal	10283-101-1	XRP44X			ELK3	MAPK	12509.157	uM	0.40211	0.13495	0.34619	0.38419	1.3397	0.33282	0.98587	1.2837
51088-1	184A1	NM	Basal	10096-101-2	ZM-447439			AURK	AURK	12509.169	uM	Inf	1.2021	0.54223	0.52769	0.92402	0.15918	0.9369	1.5064
50576-1	184B5	NM	Basal	10236-101-1	17-AAG			HSP90	HSP90	9095.037	uM	0.02221	0.029245	-0.9385	-0.76587	3.3756	1.0941	0.99097	1.0013
50576-1	184B5	NM	Basal	10501-999-1	2-deoxyglucose					12979.177	uM	559.3955	583.241	-0.1158	-0.11605	5	0.21478	0.71067	0.5647
50576-1	184B5	NM	Basal	10237-101-1	5-DFUR			TYMS	TYMS	12566.143	uM	303.4338	999.9991	0.15136	-0.27343	0.36578	0.27663	0.99063	1.6413
50576-1	184B5	NM	Basal	10239-101-1	AG1024			IGF1R	RTK	5896.066	uM	0.20947	0.20891	-0.15134	0.0066368	4.9829	0.40281	0.96861	1.4224
50576-1	184B5	NM	Basal	10239-101-1	AG1024			IGF1R	RTK	5897.066	uM	0.22173	0.22268	-0.17227	-0.010751	4.992	0.37621	0.96122	1.2737
50576-1	184B5	NM	Basal	10240-101-1	AS-252424			PI3K	PI3K	12566.165	uM	26.5219	Inf	0.41587	-1	0.70561	0.098226	0.89435	1.7248
50576-1	184B5	NM	Basal	10133-101-2	Afatinib			EGFR/HER2	ErbB	12566.165	uM	0.11327	1.1533	-0.86175	-1	0.47342	0.6795	0.92913	1.7248
50576-1	184B5	NM	Basal	10232-101-2	Dactolisib			PI3K	PI3K	12566.155	uM	0.1018	0.095963	0.1073	0.12789	4.9998	0.41164	0.97544	1.5389
50576-1	184B5	NM	Basal	10343-101-1	Baicalein			Lipoxygenase	Metabolism	5897.073	uM	259.9401	173.2901	0.73929	0.42841	4.7935	-0.00038009	0.89815	1.2323
50576-1	184B5	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5896.074	uM	0.015167	0.031882	-0.79916	-0.7384	1.2208	1.1454	0.99249	1.4124
50576-1	184B5	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5896.074	uM	0.015167	0.031882	-0.79916	-0.7384	1.2208	1.1454	0.99249	1.4124
50576-1	184B5	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5897.074	uM	0.025455	0.036796	-0.79493	-0.62459	2.1998	1.0567	0.97112	1.2824
50576-1	184B5	NM	Basal	10241-101-1	Bortezomib			Proteasome	Proteasome	5897.074	uM	0.025455	0.036796	-0.79493	-0.62459	2.1998	1.0567	0.97112	1.2824
50576-1	184B5	NM	Basal	10189-101-2	Bosutinib			Src	nRTK	12566.17	uM	0.54836	0.85384	-0.28647	-0.33682	1.163	0.40442	0.99329	1.4648
50576-1	184B5	NM	Basal	10502-101-1	Bromopyruvic acid			Hexokinase II	Metabolism	12979.177	uM	0.027401	0.034134	-1	-0.99996	5	1.0789	0.99882	0.5647
50576-1	184B5	NM	Basal	10243-999-1	CGC-11047			Polyamine analogue		9095.026	uM	486.6545	602.9019	-0.9562	-0.95915	5	0.30888	0.99686	1.0168
50576-1	184B5	NM	Basal	10246-101-1	CPT-11			TOP1	TOP	9095.121	uM	2.5192	28.7749	-0.26429	-0.96548	0.44151	0.31009	0.95652	1.1992
50576-1	184B5	NM	Basal	10242-101-1	Carboplatin			DNA cross-linker	DNA cross-linker	9095.119	uM	5.7783	14.2532	-0.90334	-0.92998	1.1638	0.68526	0.98817	1.2263
50576-1	184B5	NM	Basal			80078-1	Cetuximab	EGFR	ErbB	9095.026	uM	0.040892	0.031864	0.12046	0.10079	0.90243	0.18733	0.97429	1.0168
50576-1	184B5	NM	Basal	10505-999-1	Chloroquine					12979.177	uM	19.6465	24.4743	-1	-1	5	0.15122	0.95262	0.5647
50576-1	184B5	NM	Basal	10245-101-1	Cisplatin			DNA cross-linker	DNA cross-linker	9095.049	uM	Inf	193.5844	0.716	0.70796	3.7384	0.01365	0.89373	1.1202
50576-1	184B5	NM	Basal	10506-110-1	Dichloroacetate			PDK	PDK	12979.176	uM	Inf	0.012195	0.90859	0.86523	4.8576	0.034987	0.70451	1.0091
