,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
13,A101D,A101D,A101D,A101D,NA,NA,NA,NA,A101D,A101D,A101D,NA,A101D,NA,A101D,skin,skin,skin,NA,NA,NA,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,NA,skin,A101D,skin
14,A172,A172,A172,A172,NA,NA,A172,NA,A172,A172,A172,NA,A172,A172,A172,central_nervous_system,central_nervous_system,brain,NA,NA,Brain,NA,Brain,central_nervous_system,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system,A172,central_nervous_system
15,A204,A204,A-204,A204,NA,NA,NA,NA,A204,A-204,NA,NA,A204,NA,A204,soft_tissue,soft_tissue,muscle,NA,NA,NA,NA,Muscle,soft_tissue,NA,NA,NA,soft_tissue,soft_tissue,soft_tissue,NA,soft_tissue,A204,soft_tissue
16,A2058,A2058,A2058,NA,NA,NA,A2058,NA,A2058,A2058,NA,NA,A2058,A2058,A2058,skin,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,skin,skin,skin,Skin,skin,A2058,skin
17,A253,A253,A-253,NA,NA,NA,NA,NA,A253,A-253,A253,NA,A253,A-253,A253,skin,salivary_gland,NA,NA,NA,NA,NA,H&N,skin,aero_digestive_tract ,NA,NA,skin,skin,salivary_gland,NA,skin,A253,salivary_gland
18,A2780,A2780,A2780,A2780,NA,NA,A2780,A2780,A2780,A2780,A2780,NA,A2780,A2780,A2780,ovary,ovary,ovary,NA,NA,Ovary,OVARY,Ovary,ovary,urogenital_system ,NA,NA,ovary,ovary,ovary,Ovary,ovary,A2780,ovary
19,A375,A375,A-375,A375,NA,NA,A-375,A375,A375,A-375,A375,NA,A375,A-375,A375,skin,skin,skin,NA,NA,Skin,SKIN,Skin,skin,skin ,NA,NA,skin,skin,skin,Skin,skin,NA,NA
20,A388,A388,NA,NA,NA,NA,NA,NA,A388,NA,NA,NA,NA,A388,A388,skin,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,skin,skin,NA,NA,skin,NA,NA
21,A3-KAW,A3-KAW,A3/KAW,NA,NA,NA,A3/KAW,NA,A3-KAW,A3_KAW,NA,NA,A3KAW,A3-KAW,A3-KAW,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
22,A427,A427,NA,A427,NA,NA,A-427,NA,A427,NA,A427,NA,NA,A-427,A427,lung,NA,lung,NA,NA,Lung,NA,Lung:NSCLC,NA,lung ,NA,NA,lung,lung,NA,NA,lung,NA,NA
23,A431,A431,NA,A431,NA,NA,A-431,NA,A431,NA,NA,NA,NA,A-431,A431,skin,NA,skin,NA,NA,Skin,NA,Skin,NA,NA,NA,NA,skin,skin,NA,Skin,skin,NA,NA
24,A498,A498,A-498,A498,RE:A498,NA,A-498,NA,A498,A-498,A498,NA,A498,A-498,A498,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,kidney ,NA,NA,kidney,kidney,kidney,Kidney,kidney,A498,kidney
25,A4-Fuk,A4-Fuk,A4/Fuk,NA,NA,NA,A4/Fuk,NA,A4-Fuk,A4_Fuk,A4-Fuk,NA,A4FUK,A4-Fuk,A4-Fuk,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Skin,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
26,A549,A549,A549,A549,LC:A549,NA,A549,A549,A549,A549,A549,NA,A549,A549,A549,lung,lung,lung,LC,NA,Lung,LUNG,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,lung,Lung,lung,NA,NA
27,A673,A673,A-673,A673,NA,NA,A-673,NA,A673,A-673,A673,NA,A673,A-673,A673,bone,bone,muscle,NA,NA,Skeletal Muscle,NA,Muscle,bone,soft_tissue ,NA,NA,bone,bone,bone,Muscle,bone,A673,bone
28,A704,A704,A-704,NA,NA,NA,NA,NA,A704,A-704,A704,NA,NA,NA,A704,kidney,kidney,NA,NA,NA,NA,NA,Kidney,kidney,kidney ,NA,NA,kidney,kidney,NA,NA,kidney,NA,NA
29,ABC-1,ABC-1,ABC-1,NA,NA,NA,ABC-1,NA,ABC-1,ABC-1,ABC-1,NA,NA,ABC-1,ABC-1,lung,lung,NA,NA,NA,Lung,NA,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,NA,Lung,lung,NA,NA
30,ACHN,ACHN,ACHN,ACHN,RE:ACHN,NA,ACHN,NA,ACHN,ACHN,ACHN,NA,ACHN,ACHN,ACHN,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,kidney ,NA,NA,kidney,kidney,kidney,Kidney,kidney,ACHN,kidney
31,ACN,ACN,NA,NA,NA,NA,NA,NA,ACN,NA,ACN,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,nervous_system ,NA,NA,autonomic_ganglia,autonomic_ganglia,NA,NA,autonomic_ganglia,NA,NA
32,AGS,AGS,AGS,AGS,NA,NA,AGS,AGS,AGS,AGS,AGS,NA,AGS,AGS,AGS,stomach,stomach,stomach,NA,NA,Stomach,STOMACH,Stomach,stomach,digestive_system ,NA,NA,stomach,stomach,stomach,Stomach,stomach,AGS,stomach
33,ALL-PO,ALL-PO,NA,NA,NA,NA,NA,NA,ALL-PO,NA,ALL-PO,NA,NA,NA,ALL-PO,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
34,AM-38,AM-38,AM-38,NA,NA,NA,NA,NA,AM-38,AM-38,NA,NA,AM38,AM-38,AM-38,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,Brain,central_nervous_system,AM38,central_nervous_system
35,AML-193,AML-193,AML-193,NA,NA,NA,NA,NA,NA,AML-193,NA,NA,AML193,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
36,AN3-CA,AN3-CA,AN3 CA,AN3CA,NA,NA,AN3 CA,NA,AN3-CA,AN3_CA,AN3-CA,NA,AN3CA,AN3 CA,AN3-CA,endometrium,endometrium,uterus,NA,NA,Uterus,NA,Uterus,endometrium,urogenital_system ,NA,NA,endometrium,endometrium,endometrium,Uterus,endometrium,AN3CA,endometrium
37,ARH-77,ARH-77,NA,ARH77,NA,NA,NA,NA,ARH-77,NA,NA,NA,NA,NA,ARH-77,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
38,AsPC-1,AsPC-1,AsPC-1,ASPC1,NA,NA,AsPC-1,NA,AsPC-1,AsPC-1,AsPC-1,NA,ASPC1,AsPC-1,AsPC-1,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,ASPC1,pancreas
39,ATN-1,ATN-1,NA,NA,NA,NA,NA,NA,ATN-1,NA,ATN-1,NA,NA,NA,ATN-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
40,AU565,AU565,AU565,NA,NA,AU565,NA,NA,AU565,AU565,AU565,au565///AU655///au655,AU565,AU565,AU565,breast,breast,NA,NA,breast,NA,NA,Breast,breast,breast ,au565///au655///AU655,breast,breast,breast,breast,Breast,breast,AU565,breast
41,B2-17,B2-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA
42,BALL-1,BALL-1,NA,NA,NA,NA,NA,NA,BALL-1,NA,BALL-1,NA,NA,NA,BALL-1,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
43,BB30-HNC,BB30-HNC,NA,NA,NA,NA,NA,NA,BB30-HNC,NA,BB30-HNC,NA,NA,NA,BB30-HNC,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,H&N,NA,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,NA,NA
44,BB49-HNC,BB49-HNC,NA,NA,NA,NA,NA,NA,BB49-HNC,NA,BB49-HNC,NA,NA,NA,BB49-HNC,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,H&N,NA,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,NA,NA
45,BB65-RCC,BB65-RCC,NA,NA,NA,NA,NA,NA,BB65-RCC,NA,BB65-RCC,NA,NA,NA,BB65-RCC,kidney,NA,NA,NA,NA,NA,NA,Kidney,NA,kidney ,NA,NA,kidney,kidney,NA,NA,kidney,NA,NA
46,BC-1,BC-1,NA,BC1,NA,NA,NA,NA,BC-1,NA,BC-1,NA,NA,NA,BC-1,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
47,BC-3,BC-3,NA,BC3,NA,NA,NA,NA,NA,NA,BC-3,NA,NA,NA,BC-3,haematopoietic_and_lymphoid_tissue,NA,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
48,BCPAP,BCPAP,B-CPAP,NA,NA,NA,NA,NA,BCPAP,B-CPAP,BCPAP,NA,BCPAP,B-CPAP,BCPAP,thyroid,thyroid,NA,NA,NA,NA,NA,Thyroid,thyroid,thyroid ,NA,NA,thyroid,thyroid,thyroid,Thyroid,thyroid,BCPAP,thyroid
49,BE-13,BE-13,NA,NA,NA,NA,NA,NA,BE-13,NA,BE-13,NA,NA,NA,BE-13,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
50,Becker,Becker,Becker,NA,NA,NA,NA,NA,Becker,NA,Becker,NA,BECKER,NA,Becker,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,CNS,NA,nervous_system ,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,central_nervous_system,Becker,central_nervous_system
51,BEN,BEN,BEN,NA,NA,NA,BEN,BEN,BEN,BEN,BEN,NA,BEN,BEN,BEN,lung,lung,NA,NA,NA,Lung,LUNG,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,lung,Lung,lung,NA,NA
52,BFTC-905,BFTC-905,BFTC-905,BFTC905,NA,NA,BFTC-905,NA,BFTC-905,BFTC-905,BFTC-905,NA,BFTC905,BFTC-905,BFTC-905,urinary_tract,urinary_tract,bladder,NA,NA,Urinary Bladder,NA,Bladder,urinary_tract,urogenital_system ,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,urinary_tract,NA,NA
53,BFTC-909,BFTC-909,BFTC-909,NA,NA,NA,BFTC-909,NA,BFTC-909,BFTC-909,BFTC-909,NA,BFTC909,BFTC-909,BFTC-909,urinary_tract,kidney,NA,NA,NA,Kidney,NA,Kidney,urinary_tract,kidney ,NA,NA,urinary_tract,urinary_tract,kidney,Kidney,urinary_tract,NA,NA
54,BHT-101,BHT-101,BHT-101,BHT101,NA,NA,NA,NA,BHT-101,BHT-101,BHT-101,NA,BHT101,NA,BHT-101,thyroid,thyroid,thyroid_gland,NA,NA,NA,NA,Thyroid,thyroid,thyroid ,NA,NA,thyroid,thyroid,thyroid,NA,thyroid,BHT101,thyroid
55,BHY,BHY,BHY,NA,NA,NA,BHY,NA,BHY,BHY,BHY,NA,BHY,BHY,BHY,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,Oral Cavity,NA,Head & Neck,upper_aerodigestive_tract,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,Head and Neck,upper_aerodigestive_tract,NA,NA
56,BL-41,BL-41,BL-41,NA,NA,NA,NA,NA,BL-41,BL-41,BL-41,NA,BL41,NA,BL-41,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
57,BL-70,BL-70,BL-70,NA,NA,NA,NA,BL70,NA,BL-70,NA,NA,BL70,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
58,BOKU,BOKU,NA,NA,NA,NA,NA,NA,BOKU,NA,NA,NA,NA,BOKU,NA,cervix,NA,NA,NA,NA,NA,NA,Cervix,NA,NA,NA,NA,cervix,cervix,NA,Cervix,cervix,NA,NA
59,BONNA-12,BONNA-12,NA,NA,NA,NA,NA,NA,BONNA-12,NA,BONNA-12,NA,NA,NA,BONNA-12,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
60,BPH-1,BPH-1,NA,BPH1,NA,NA,NA,NA,BPH-1,NA,BPH-1,NA,NA,NA,BPH-1,prostate,NA,prostate,NA,NA,NA,NA,Prostate,NA,urogenital_system ,NA,NA,prostate,prostate,NA,NA,prostate,NA,NA
61,BT-20,BT-20,BT-20,BT20,NA,BT20,BT-20,NA,BT-20,BT-20,BT-20,bt20,BT20,BT-20,BT-20,breast,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,BT-20,breast,breast,breast,breast,Breast,breast,BT20,breast
62,BT-474,BT-474,BT-474,BT474,NA,BT474,BT-474,NA,BT-474,BT-474,BT-474,bt474,BT474,BT-474,BT-474,breast,breast,breast,NA,breast,Breast,NA,Breast,breast,breast ,4-bt474///BT-474,breast,breast,breast,breast,Breast,breast,BT474,breast
63,BT-549,BT-549,BT-549,NA,BR:BT_549,BT549,BT-549,NA,BT-549,BT-549,BT-549,bt549,BT549,BT-549,BT-549,breast,breast,NA,BR,breast,Breast,NA,Breast,breast,breast ,BT549///BT-549,breast,breast,breast,breast,Breast,breast,BT549,breast
64,BV-173,BV-173,BV-173,BV173,NA,NA,NA,NA,BV-173,BV-173,BV-173,NA,BV173,NA,BV-173,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
65,BxPC-3,BxPC-3,BxPC-3,BXPC3,NA,NA,BxPC-3,NA,BxPC-3,BxPC-3,BxPC-3,NA,BXPC3,BxPC-3,BxPC-3,pancreas,pancreas,pancreas,NA,NA,Pancreas,NA,Pancreas,pancreas,pancreas ,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,BXPC3,pancreas
66,C2BBe1,C2BBe1,C2BBe1,NA,NA,NA,C2BBe1,C2BBE1,C2BBe1,C2BBe1,C2BBe1,NA,C2BBE1,C2BBe1,C2BBe1,large_intestine,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,digestive_system ,NA,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine,C2BBE1,large_intestine
67,C32,C32,C32,C32TG,NA,NA,C32,NA,C32,C32,C32,NA,C32,C32,C32,skin,skin,skin,NA,NA,Skin,NA,Skin,skin,skin ,NA,NA,skin,skin,skin,Skin,skin,C32,skin
68,C-33-A,C-33-A,NA,C33A,NA,NA,C-33 A,NA,C-33-A,NA,C-33-A,NA,NA,C-33 A,C-33-A,cervix,NA,cervix_uteri,NA,NA,Cervix,NA,Cervix,NA,urogenital_system ,NA,NA,cervix,cervix,NA,Cervix,cervix,NA,NA
69,C3A,C3A,C3A,C3A,NA,NA,C3A,NA,C3A,NA,C3A,NA,NA,C3A,C3A,liver,liver,liver,NA,NA,Liver,NA,Liver,NA,digestive_system ,NA,NA,liver,liver,NA,Liver,liver,NA,NA
70,C-4-II,C-4-II,NA,C4II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,NA,cervix_uteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,cervix,NA,NA,NA,NA,NA
71,C8166,C8166,NA,NA,NA,NA,NA,NA,C8166,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
72,CA46,CA46,CA46,CA46,NA,NA,CA46,NA,CA46,CA46,CA46,NA,CA46,CA46,CA46,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue,NA,NA
73,Ca9-22,Ca9-22,NA,NA,NA,NA,NA,NA,Ca9-22,NA,Ca9-22,NA,NA,Ca9-22,Ca9-22,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,Head & Neck,NA,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,NA,NA
74,CAKI-1,CAKI-1,Caki-1,CAKI1,RE:CAKI_1,NA,Caki-1,NA,CAKI-1,Caki-1,CAKI-1,NA,CAKI1,Caki-1,CAKI-1,kidney,kidney,kidney,RE,NA,Kidney,NA,Kidney,kidney,kidney ,NA,NA,kidney,kidney,kidney,Kidney,kidney,CAKI1,kidney
75,CAL-120,CAL-120,CAL-120,NA,NA,CAL120,CAL-120,NA,CAL-120,CAL-120,CAL-120,cal120,CAL120,CAL-120,CAL-120,breast,breast,NA,NA,breast,Breast,NA,Breast,breast,breast ,5-cal120///CAL-120,breast,breast,breast,breast,Breast,breast,NA,NA
76,CAL-12T,CAL-12T,CAL-12T,NA,NA,NA,CAL-12T,CAL12T,CAL-12T,CAL-12T,CAL-12T,NA,CAL12T,CAL-12T,CAL-12T,lung,lung,NA,NA,NA,Lung,LUNG,Lung:NSCLC,lung,lung ,NA,NA,lung,lung,lung,Lung,lung,CAL12T,lung
77,CAL-148,CAL-148,CAL-148,NA,NA,CAL148,CAL-148,NA,CAL-148,CAL-148,CAL-148,cal148,CAL148,CAL-148,CAL-148,breast,breast,NA,NA,breast,Breast,NA,breast,breast,breast ,CAL148,breast,breast,breast,breast,Breast,breast,CAL148,breast
78,CAL-27,CAL-27,CAL 27,CAL27,NA,NA,CAL 27,NA,CAL-27,CAL_27,CAL-27,NA,CAL27,CAL 27,CAL-27,upper_aerodigestive_tract,upper_aerodigestive_tract,head_and_neck,NA,NA,Tongue,NA,Mouth,upper_aerodigestive_tract,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,Head and Neck,upper_aerodigestive_tract,NA,NA
79,CAL-33,CAL-33,CAL-33,NA,NA,NA,NA,NA,CAL-33,CAL-33,CAL-33,NA,CAL33,NA,CAL-33,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,NA,NA,NA,H&N,upper_aerodigestive_tract,aero_digestive_tract ,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,upper_aerodigestive_tract,NA,NA
80,CAL-39,CAL-39,NA,NA,NA,NA,NA,NA,CAL-39,NA,CAL-39,NA,NA,NA,CAL-39,vulva,NA,NA,NA,NA,NA,NA,Cervix,NA,urogenital_system ,NA,NA,vulva,vulva,NA,NA,vulva,NA,NA
81,CAL-51,CAL-51,CAL-51,NA,NA,CAL51,CAL51,NA,CAL-51,CAL-51,NA,cal51,CAL51,CAL51,CAL-51,breast,breast,NA,NA,breast,Breast,NA,Breast,breast,NA,3-cal51///CAL-51,breast,breast,breast,breast,Breast,breast,CAL51,breast
82,CAL-54,CAL-54,CAL-54,CAL54,NA,NA,CAL 54,NA,CAL-54,CAL-54,CAL-54,NA,CAL54,CAL 54,CAL-54,kidney,kidney,kidney,NA,NA,Kidney,NA,Kidney,kidney,kidney ,NA,NA,kidney,kidney,kidney,Kidney,kidney,CAL54,kidney
