Source Name	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [Sex]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellType]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [BioSourceProvider]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [ClinicalInformation]	Factor Value [CellLine]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
LY2	LY2	EFO	EFO_0001199	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	LY2	P-MTAB-12195	LY2	total_RNA	P-MTAB-12196	LY2 biotin	biotin	synthetic_RNA	P-MTAB-12197	0259_LY2	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	LY2	EFO	EFO_0001199	0259_LY2.CEL	0259_LY2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
SUM159PT	SUM159PT	EFO	EFO_0001241	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Steve Ethier	P-MTAB-12194	SUM159PT	P-MTAB-12195	SUM159PT	total_RNA	P-MTAB-12196	SUM159PT biotin	biotin	synthetic_RNA	P-MTAB-12197	0282_SUM159PT	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-B	SUM159PT	EFO	EFO_0001241	0282_SUM159PT.CEL	0282_SUM159PT.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
HCC1806	HCC1806	  	  	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC1806	P-MTAB-12195	HCC1806	total_RNA	P-MTAB-12196	HCC1806 biotin	biotin	synthetic_RNA	P-MTAB-12197	0251_HCC1806	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	HCC1806	  	  	0251_HCC1806.CEL	0251_HCC1806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
MDAMB157	MDAMB157	EFO	EFO_0001206	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MDAMB157	P-MTAB-12195	MDAMB157	total_RNA	P-MTAB-12196	MDAMB157 biotin	biotin	synthetic_RNA	P-MTAB-12197	0264_MDAMB157	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-B	MDAMB157	EFO	EFO_0001206	0264_MDAMB157.CEL	0264_MDAMB157.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
HCC1187	HCC1187	EFO	EFO_0001170	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC1187	P-MTAB-12195	HCC1187	total_RNA	P-MTAB-12196	HCC1187 biotin	biotin	synthetic_RNA	P-MTAB-12197	0244_HCC1187	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	HCC1187	EFO	EFO_0001170	0244_HCC1187.CEL	0244_HCC1187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
SUM185PE	SUM185PE	EFO	EFO_0001242	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Steve Ethier	P-MTAB-12194	SUM185PE	P-MTAB-12195	SUM185PE	total_RNA	P-MTAB-12196	SUM185PE biotin	biotin	synthetic_RNA	P-MTAB-12197	0283_SUM185PE	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	SUM185PE	EFO	EFO_0001242	0283_SUM185PE.CEL	0283_SUM185PE.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
MDAMB231	MDAMB231	EFO	EFO_0001209	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MDAMB231	P-MTAB-12195	MDAMB231	total_RNA	P-MTAB-12196	MDAMB231 biotin	biotin	synthetic_RNA	P-MTAB-12197	0266_MDAMB231	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-B	MDAMB231	EFO	EFO_0001209	0266_MDAMB231.CEL	0266_MDAMB231.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.2.zip	  	        	  
MCF10A	MCF10A	  	  	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MCF10A	P-MTAB-12195	MCF10A	total_RNA	P-MTAB-12196	MCF10A biotin	biotin	synthetic_RNA	P-MTAB-12197	0294_MCF10A	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	MCF10A	  	  	0294_MCF10A.CEL	0294_MCF10A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
MCF7	MCF7	  	  	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MCF7	P-MTAB-12195	MCF7	total_RNA	P-MTAB-12196	MCF7 biotin	biotin	synthetic_RNA	P-MTAB-12197	0262_MCF7	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	MCF7	  	  	0262_MCF7.CEL	0262_MCF7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
MCF12A	MCF12A	EFO	EFO_0001202	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Chris Benz	P-MTAB-12194	MCF12A	P-MTAB-12195	MCF12A	total_RNA	P-MTAB-12196	MCF12A biotin	biotin	synthetic_RNA	P-MTAB-12197	0260_MCF12A	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	MCF12A	EFO	EFO_0001202	0260_MCF12A.CEL	0260_MCF12A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
UACC893	UACC893	EFO	EFO_0002385	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	ATCC	P-MTAB-12194	UACC893	P-MTAB-12195	UACC893	total_RNA	P-MTAB-12196	UACC893 biotin	biotin	synthetic_RNA	P-MTAB-12197	0288_UACC893	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	UACC893	EFO	EFO_0002385	0288_UACC893.CEL	0288_UACC893.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
SUM102PT	SUM102PT	  	  	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Steve Ethier	P-MTAB-12194	SUM102PT	P-MTAB-12195	SUM102PT	total_RNA	P-MTAB-12196	SUM102PT biotin	biotin	synthetic_RNA	P-MTAB-12197	0280_SUM102PT	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	SUM102PT	  	  	0280_SUM102PT.CEL	0280_SUM102PT.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
MDAMB134VI	MDAMB134VI	EFO	EFO_0001205	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	MDAMB134VI	P-MTAB-12195	MDAMB134VI	total_RNA	P-MTAB-12196	MDAMB134VI biotin	biotin	synthetic_RNA	P-MTAB-12197	0263_MDAMB134VI	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	MDAMB134VI	EFO	EFO_0001205	0263_MDAMB134VI.CEL	0263_MDAMB134VI.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
SUM52PE	SUM52PE	EFO	EFO_0001246	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Steve Ethier	P-MTAB-12194	SUM52PE	P-MTAB-12195	SUM52PE	total_RNA	P-MTAB-12196	SUM52PE biotin	biotin	synthetic_RNA	P-MTAB-12197	0279_SUM52PE	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	SUM52PE	EFO	EFO_0001246	0279_SUM52PE.CEL	0279_SUM52PE.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
HCC1569	HCC1569	EFO	EFO_0001173	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC1569	P-MTAB-12195	HCC1569	total_RNA	P-MTAB-12196	HCC1569 biotin	biotin	synthetic_RNA	P-MTAB-12197	0249_HCC1569	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	HCC1569	EFO	EFO_0001173	0249_HCC1569.CEL	0249_HCC1569.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
ZR751	ZR751	EFO	EFO_0001262	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	ZR751	P-MTAB-12195	ZR751	total_RNA	P-MTAB-12196	ZR751 biotin	biotin	synthetic_RNA	P-MTAB-12197	0289_ZR751	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	ZR751	EFO	EFO_0001262	0289_ZR751.CEL	0289_ZR751.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.3.zip	  	        	  
BT20	BT20	EFO	EFO_0001092	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Georgetown	P-MTAB-12194	BT20	P-MTAB-12195	BT20	total_RNA	P-MTAB-12196	BT20 biotin	biotin	synthetic_RNA	P-MTAB-12197	0234_BT20	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-A	BT20	EFO	EFO_0001092	0234_BT20.CEL	0234_BT20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.4.zip	  	        	  
HCC38	HCC38	EFO	EFO_0001180	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC38	P-MTAB-12195	HCC38	total_RNA	P-MTAB-12196	HCC38 biotin	biotin	synthetic_RNA	P-MTAB-12197	0240_HCC38	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-B	HCC38	EFO	EFO_0001180	0240_HCC38.CEL	0240_HCC38.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.4.zip	  	        	  
HCC1428	HCC1428	EFO	EFO_0001171	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC1428	P-MTAB-12195	HCC1428	total_RNA	P-MTAB-12196	HCC1428 biotin	biotin	synthetic_RNA	P-MTAB-12197	0247_HCC1428	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	HCC1428	EFO	EFO_0001171	0247_HCC1428.CEL	0247_HCC1428.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.4.zip	  	        	  
HCC1395	HCC1395	EFO	EFO_0002185	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Adi gazdar	P-MTAB-12194	HCC1395	P-MTAB-12195	HCC1395	total_RNA	P-MTAB-12196	HCC1395 biotin	biotin	synthetic_RNA	P-MTAB-12197	0245_HCC1395	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Basal-B	HCC1395	EFO	EFO_0002185	0245_HCC1395.CEL	0245_HCC1395.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.4.zip	  	        	  
600MPE	600MPE	EFO	EFO_0001085	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Gray Lab	P-MTAB-12194	600MPE	P-MTAB-12195	600MPE	total_RNA	P-MTAB-12196	600MPE biotin	biotin	synthetic_RNA	P-MTAB-12197	0232_600MPE	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	600MPE	EFO	EFO_0001085	0232_600MPE.CEL	0232_600MPE.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.4.zip	  	        	  
CAMA1	CAMA1	EFO	EFO_0001100	female	EFO	EFO_0001265	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	epithelial cell	EFO	http://purl.org/obo/owl/CL#CL_0000066	fresh_sample	Gray Lab	P-MTAB-12194	CAMA1	P-MTAB-12195	CAMA1	total_RNA	P-MTAB-12196	CAMA1 biotin	biotin	synthetic_RNA	P-MTAB-12197	0237_CAMA1	A-AFFY-143	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-143	P-MTAB-12199	Luminal	CAMA1	EFO	EFO_0001100	0237_CAMA1.CEL	0237_CAMA1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-181/E-MTAB-181.raw.4.zip	  	        	  
